LANGUAGE,English,German
STR_Client_BKPK_click,Click Image to Equip,Klicken Sie auf das Bild um Equip
STR_Client_Repair_menu,Field Repair %1,Field Repair %1
STR_Client_Unflip_menu,Unflip %1,Unflip %1
STR_Client_HUD_menu,Settings,Einstellungen
STR_Client_HUD_view,Player Settings,Spieler Einstellungen
STR_Client_HUD_grass,Grass Detail,Grass Schicht
STR_Client_HUD_toggle,Toggle Hud,Toggle Hud
STR_Client_HUD_teamlist,Show Teams,Show Teams
STR_Client_RANK_UP,You have been promoted to %1,Sie haben zum %1 befordert worden
STR_Client_RANK_Down,You have been demoted to %1,Sie haben zum %1 degradiert worden
STR_Client_Limit_Pilots,You must be a pilot to be able to fly a %1,"Sie mussen ein Pilot in der Lage sein, eine %1 fliegen"
STR_Client_Limit_Crew,You must be a crewman to be able to drive a %1,"Sie mussen ein Besatzungsmitglied in der Lage sein, eine %1 Laufwerk"
STR_Client_Limit_rank,You must have be a %2 to use this %1,You must be a %2 to use this %1
STR_Client_Proxy_Alert,ALERT! You are too close to enemy base without clearance,Achtung! Sie sind zu nah an feindliche Basis zu schliessen spielfrei
STR_Client_ammobox_load,Loading Ammobox...,Loading Munitionskiste...
STR_Client_ammobox_cancel,Loading of Ammobox Cancelled,Verladen von Munitionskiste gestoppt
STR_Client_ammobox_done,Ammobox Loaded,Munitionskiste geladen
STR_Client_ammobox_void,An Ammobox is already loaded,Munitionskiste bereits geladen
STR_Client_ammobox_none,No Ammobox has been loaded,Keine Munitionskiste geladen wurde
STR_Client_ammobox_fast,Vehicle is moving too fast to deploy ammobox,Fahrzeug in Bewegung zu schnell um Munitionskiste einsetzen
STR_Client_airstrike_menu,Call in Airstrike,Anruf Luftangriff
STR_Client_airstrike_send,Request for airstrike on target acknowledged,Anfrage fur Luftangriff auf Ziel anerkannt
STR_Client_airstrike_lock,Bomber is inbound and has confirmed TARGET LOCK,Flugzeug inbound und hat bestätigt Zielerfassung
STR_Client_airstrike_away,Bomber reports Bomb away!,Flugzeug Berichte Bombe entfernt
STR_Client_airstrike_lost,Bomber has NEGATIVE on TARGET LOCK. In hold pattern for 2 minutes,Flugzeug hat negative auf ein Ziel zu erwerben. In einer Warteschleife fur 2 Minuten
STR_Client_airstrike_bmsg,%1 has called in a CAS Airstrike,%1 hat in einer engen airsupport Luftangriff genannte
STR_Client_airstrike_busy,Airsupport already on mission,Unterstutzung aus der Luft bereits auf Mission
STR_Client_airstrike_find,Laser designator is not on. Call aborted,Laser-Kennung ist nicht eingeschaltet. Rufen abgebrochen
STR_AIS_button_MHQ_text,Redeploy at MHQ,Erneutes bei MHQ
STR_AIS_button_Base_text,Redeploy at Base,Erneutes bei Base
STR_AIS_button_RALLY_text,Redeploy at FOB,Erneutes bei FOB
STR_AIS_dead_message,Your Soldier has been Killed,Ihre Soldaten getotet worden
STR_AIS_new_message,Your Soldier has re-entered the battle,Ihre Soldaten hat der Kampf wieder aufgenommen
STR_AIS_base_message,Your Soldier has arrived at base,Ihre Soldat hat an der Basis angekommen
STR_AIS_mhq_message,Your Soldier has arrived at the MHQ,Ihre Soldat hat am MHQ angekommen
STR_AIS_out_message,Your Soldier has been killed permanently,Ihre Soldat wurde permanent getotet
